SMILES,Valid,HBD,HBA,ConjSystems,AroSystems,ChargedAtoms,TotalFormalCharge,Halogens,RotBonds,RingCount,AroRingCount,HeteroAtoms,HeavyAtoms,FracCsp3,TPSA,cLogP,MolWt,ExactMass,ChiralCenters
CCNC1=NC2=C(N1)C(=O)N(C)C(=O)N2C,True,2,6,1,1,0,0,0,2,2,2,7,16,0.4444444444444444,84.71000000000001,-0.6078999999999999,223.236,223.106924656,0
CCOC(=O)C=1OC=2CCCC(=O)C2C1C,True,0,4,1,1,0,0,0,2,2,1,4,16,0.5,56.51,2.2837200000000006,222.23999999999995,222.089208928,0
CC1=C(OC=2CC(C)(C)CC(=O)C12)C(=O)O,True,1,3,1,1,0,0,0,1,2,1,4,16,0.5,67.51,2.44132,222.23999999999998,222.089208928,0
NC=1C=CC=C(C1)C2=CN3CCCCC3=N2,True,1,3,1,2,0,0,0,1,3,2,3,16,0.3076923076923077,43.84,2.4686000000000003,213.28399999999993,213.12659748,0
CC1=CNC(=O)N1C=2C=CC=C(C2)C(=O)O,True,2,3,1,2,0,0,0,2,2,2,5,16,0.09090909090909091,75.09,1.1722199999999998,218.21200000000002,218.06914218,0
O=C(O)C1(CCOCC1)C=2C=CC(O)=CC2,True,2,3,2,1,0,0,0,2,2,1,4,16,0.4166666666666667,66.76,1.5250000000000001,222.24,222.089208928,0
CC(C)N1NC(=CC1=O)C=2C=CC(F)=CC2,True,1,2,1,2,0,0,1,2,2,2,4,16,0.25,37.79,2.5634000000000006,220.24699999999999,220.101191256,0
O=C(O)C1(CC=2C=CC=CC2)CCOCC1,True,1,2,2,1,0,0,0,3,2,1,3,16,0.46153846153846156,46.53,2.1105,220.26799999999994,220.109944372,0
CC1C(=O)NCCN1C(=O)C=2C=CC=CC2,True,1,2,2,1,0,0,0,1,2,1,4,16,0.3333333333333333,49.410000000000004,0.6470999999999996,218.25600000000003,218.105527688,1
OB(O)C=1C=CC(=CC1)OC2CCOCC2,True,2,4,1,1,0,0,0,3,2,1,5,16,0.45454545454545453,58.92,-0.07580000000000031,222.04899999999992,222.10633936,0
O=C1CC(=O)N(CC=2C=CC=CC2)C(=O)N1,True,1,3,2,1,0,0,0,2,2,1,5,16,0.18181818181818182,66.48,0.6551,218.21200000000002,218.06914218,0
COC=1C=CC=2NC3=C(CCCC3N)C2C1,True,2,2,1,1,0,0,0,1,3,2,3,16,0.38461538461538464,51.04,2.5126,216.28399999999996,216.126263132,1
COC=1C=CC=2NC=3C(=O)CCCC3C2C1,True,1,2,1,1,0,0,0,1,3,2,3,16,0.3076923076923077,42.09,2.695500000000001,215.25199999999995,215.094628656,0
C1=CSC(=N1)NC2CCCC3=CC=CN=C32,True,1,4,2,2,0,0,0,2,3,2,4,16,0.3333333333333333,37.81,3.0276000000000005,231.32399999999998,231.083018416,1
Cl.O=C1NC=2C=CC=C(C2N1)N3CCNCC3,True,3,3,1,1,0,0,1,1,3,2,6,17,0.36363636363636365,63.92,0.6875999999999995,254.72099999999998,254.09343877999999,0
CC=1C(N)=CC=CC1N2C(=O)NC(C)C2=O,True,2,3,1,1,0,0,0,1,2,1,5,16,0.2727272727272727,75.43,1.0219200000000002,219.24399999999997,219.100776656,1
